label,Company,Seller,Delivery number,Delivery date,Wood species,Lumber quantity,Trunc diameter,Assortment,Size class,Length (m),Quality class,Import,National Trade,Certification,Storage Place
F1L441,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,fir,0,62,40,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L442,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,1,14,54,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L443,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,larch,0,35,30,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L444,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,0,37,31,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L445,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,1,18,55,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L446,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,0,56,38,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L447,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,fir,0,5,36,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L448,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,0,4,32,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L449,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,larch,0,56,38,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L450,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,fir,0,26,26,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L451,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,larch,0,86,47,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L452,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,0,72,43,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L453,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,0,59,39,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L454,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,0,4,32,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L455,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,0,24,25,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L456,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,spruce,0,56,38,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L457,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,larch,1,02,51,Bloch,D5,5,B,no,yes,no,larch Bloch
F1L458,Sawmill Bioholz GmbH,forest1,7960,21-Feb-2024,larch,0,5,36,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L459,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,62,40,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L460,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,42,33,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L461,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,0,59,39,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L462,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,1,02,51,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L463,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,87,40,Wertholz,D4,7,A,no,yes,no,larch Wertholz
F1L464,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,1,02,51,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L465,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,33,29,Bloch,D2b,5,A,no,yes,no,larch Bloch
F1L466,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,0,79,45,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L467,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,42,33,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L468,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,37,31,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L469,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,45,34,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L470,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,1,23,56,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L471,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,1,27,57,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L472,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,1,27,57,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L473,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,5,36,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L474,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,0,24,25,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L475,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,0,9,48,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L476,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,0,3,28,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L477,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,0,33,29,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L478,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,spruce,1,06,52,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L479,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,5,36,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L480,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,56,38,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L481,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,19,22,Bloch,D2a,5,C,no,yes,no,fir Bloch
F1L482,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,9,48,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L483,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,76,44,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L484,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,19,22,Bloch,D2a,5,C,no,yes,no,fir Bloch
F1L485,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,56,38,Bloch,D3b,5,A,no,yes,no,larch Bloch
F1L486,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,33,29,Bloch,D2b,5,C,no,yes,no,fir Bloch
F1L487,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,37,31,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L488,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,59,39,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L489,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,1,06,52,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L490,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,79,45,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L491,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,fir,0,28,27,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L492,Sawmill Bioholz GmbH,forest1,2880,21-Feb-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L493,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,48,35,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L494,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,spruce,0,79,45,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L495,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,62,40,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L496,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,0,69,42,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L497,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,0,66,41,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L498,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,0,48,35,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L499,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,1,71,66,Bloch,D6,5,C,no,yes,no,fir Bloch
F1L500,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,33,29,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L501,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,spruce,0,3,28,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L502,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,0,86,47,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L503,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,0,48,35,Bloch,D3b,5,A,no,yes,no,larch Bloch
F1L504,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,1,27,57,Bloch,D5,5,B,no,yes,no,larch Bloch
F1L505,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,spruce,0,42,33,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L506,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,spruce,0,66,41,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L507,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,15,20,Bloch,D2a,5,B,no,yes,no,fir Bloch
F1L508,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,94,49,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L509,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,37,31,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L510,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,37,31,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L511,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,35,30,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L512,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,spruce,0,24,25,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L513,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,45,34,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L514,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,1,65,65,Bloch,D6,5,B,no,yes,no,larch Bloch
F1L515,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,0,48,35,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L516,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,0,62,40,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L517,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,4,32,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L518,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,spruce,0,69,42,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L519,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,86,47,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L520,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,spruce,0,72,43,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L521,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,1,1,53,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L522,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,larch,1,55,63,Bloch,D6,5,B,no,yes,no,larch Bloch
F1L523,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,94,49,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L524,Sawmill Bioholz GmbH,forest1,83380,22-Feb-2024,fir,0,33,29,Bloch,D2b,5,C,no,yes,no,fir Bloch
F1L525,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,59,39,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L526,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,1,02,51,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L527,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,62,40,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L528,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,79,45,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L529,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,1,23,56,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L530,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,0,53,37,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L531,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,0,37,31,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L532,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,larch,0,59,39,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L533,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,69,42,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L534,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,0,45,34,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L535,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,larch,1,27,57,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L536,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,72,43,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L537,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,79,45,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L538,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,62,40,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L539,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,0,72,43,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L540,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,larch,0,42,33,Bloch,D3a,5,A,no,yes,no,larch Bloch
F1L541,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,86,47,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L542,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,33,29,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L543,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,larch,0,72,43,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L544,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,larch,1,81,68,Bloch,D6,5,C,no,yes,no,larch Bloch
F1L545,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,0,76,44,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L546,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,0,56,38,Bloch,D3b,5,A,no,yes,no,fir Bloch
F1L547,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,83,46,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L548,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,1,14,54,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L549,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,1,18,55,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L550,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,0,4,32,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L551,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,larch,0,56,38,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L552,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,fir,0,62,40,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L553,Sawmill Bioholz GmbH,forest1,12400,23-Feb-2024,spruce,0,66,41,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L554,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,66,41,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L555,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,28,27,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L556,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,83,46,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L557,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,79,45,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L558,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,9,48,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L559,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,86,47,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L560,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,66,41,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L561,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,59,39,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L562,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,53,37,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L563,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,83,46,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L564,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,2,23,Bloch,D2a,5,C,no,yes,no,larch Bloch
F1L565,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,45,34,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L566,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,86,47,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L567,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,45,34,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L568,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,22,24,Bloch,D2a,5,C,no,yes,no,fir Bloch
F1L569,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,53,37,Bloch,D3b,5,A,no,yes,no,fir Bloch
F1L570,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,66,41,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L571,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,94,49,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L572,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,1,1,53,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L573,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,83,42,Wertholz,D4,6,A,no,yes,no,fir Wertholz
F1L574,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,26,26,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L575,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,19,22,Bloch,D2a,5,C,no,yes,no,larch Bloch
F1L576,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,56,38,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L577,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,1,02,51,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L578,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,76,44,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L579,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,9,48,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L580,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,72,43,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L581,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,79,45,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L582,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,fir,0,28,27,Bloch,D2b,5,A,no,yes,no,fir Bloch
F1L583,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,83,46,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L584,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,53,37,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L585,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,69,42,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L586,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,0,26,26,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L587,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,spruce,0,94,49,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L588,Sawmill Bioholz GmbH,forest1,66700,23-Feb-2024,larch,1,46,61,Bloch,D6,5,C,no,yes,no,larch Bloch
F1L589,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,spruce,0,33,29,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L590,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,66,41,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L591,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,spruce,1,27,57,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L592,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,35,30,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L593,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,45,34,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L594,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,42,33,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L595,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,48,35,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L596,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,48,35,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L597,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,spruce,1,27,57,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L598,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,larch,0,53,37,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L599,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,spruce,0,83,46,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L600,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,spruce,0,26,26,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L601,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,spruce,0,98,50,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L602,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,spruce,0,9,48,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L603,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,5,36,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L604,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L605,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,1,36,59,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L606,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,1,1,53,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L607,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,42,33,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L608,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,4,32,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L609,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,larch,0,86,47,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L610,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,spruce,1,5,62,Bloch,D6,5,B,no,yes,no,spruce Bloch
F1L611,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,larch,0,62,40,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L612,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L613,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,larch,0,98,50,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L614,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,larch,0,62,40,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L615,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,22,24,Bloch,D2a,5,B,no,yes,no,fir Bloch
F1L616,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,larch,1,06,52,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L617,Sawmill Bioholz GmbH,forest1,60350,26-Feb-2024,fir,0,66,41,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L618,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,fir,0,19,22,Bloch,D2a,5,C,no,yes,no,fir Bloch
F1L619,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,spruce,1,18,55,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L620,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,larch,1,11,45,Wertholz,D4,7,A,no,yes,no,larch Wertholz
F1L621,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,spruce,0,72,43,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L622,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,fir,0,4,32,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L623,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,larch,0,26,26,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L624,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,larch,1,18,55,Bloch,D5,5,B,no,yes,no,larch Bloch
F1L625,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,larch,0,86,47,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L626,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,larch,0,37,31,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L627,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,larch,0,37,31,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L628,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,fir,0,56,38,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L629,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,spruce,0,53,37,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L630,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,larch,0,48,35,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L631,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,larch,1,02,51,Bloch,D5,5,B,no,yes,no,larch Bloch
F1L632,Sawmill Bioholz GmbH,forest1,83160,27-Feb-2024,spruce,0,66,41,Bloch,D4,5,C,no,yes,no,spruce Bloch
