label,Company,Country,Federal state,Municipality,Side,Wood species,Harvesting date,GPS coordinate lat,GPS coordinate long,Trunc diameter,Size class,Quality class,Assortment,Length,Lumber quantity,Moon phase,Date of Sale,Customer,Export,National Trade,Certification,Loading point (GPS lat),Loading point (GPS long)
F1L1,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.828579,12.982120,34,D3a,B,Bloch,5,0.45,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L362,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/12/24 0:00,46.853631,12.941415,45,D4,C,Bloch,5,0,79,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L363,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.821614,12.986604,47,D4,B,Bloch,5,0,86,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L364,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/12/24 0:00,46.822466,12.946192,28,D2b,C,Bloch,5,0,3,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L365,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.851733,12.987819,22,D2a,C,Bloch,5,0,19,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L366,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.819776,12.979813,38,D3b,B,Bloch,5,0,56,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L367,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/12/24 0:00,46.837060,12.962512,43,D4,C,Bloch,5,0,72,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L368,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/12/24 0:00,46.832790,12.975545,45,D4,C,Bloch,5,0,79,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L369,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/12/24 0:00,46.821652,12.982503,58,D5,C,Bloch,5,1,32,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L370,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/12/24 0:00,46.831384,12.981236,45,D4,B,Bloch,5,0,79,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L371,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/12/24 0:00,46.826220,12.949967,37,D3b,C,Bloch,5,0,53,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L372,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/12/24 0:00,46.825974,12.944972,57,D5,B,Bloch,5,1,27,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L373,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.822899,12.986788,34,D3a,B,Bloch,5,0,45,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L374,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/12/24 0:00,46.832184,12.970751,46,D4,C,Bloch,5,0,83,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L375,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/12/24 0:00,46.846850,12.947353,53,D5,B,Bloch,5,1,1,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L376,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.843992,12.954386,49,D4,B,Bloch,5,0,94,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L377,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/12/24 0:00,46.823995,12.988591,40,D4,A,Wertholz,9,1,13,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L378,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.818935,12.947902,34,D3a,C,Bloch,5,0,45,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L379,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/12/24 0:00,46.832487,12.950720,36,D3b,C,Bloch,5,0,5,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L380,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/12/24 0:00,46.851162,12.973109,50,D5,B,Bloch,5,0,98,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L381,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/12/24 0:00,46.818017,12.985475,33,D3a,B,Bloch,5,0,42,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L382,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/12/24 0:00,46.819113,12.974771,42,D4,C,Bloch,5,0,69,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L383,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/12/24 0:00,46.832847,12.948201,47,D4,B,Bloch,5,0,86,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L384,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.822378,12.955643,43,D4,B,Bloch,5,0,72,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L385,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/12/24 0:00,46.840828,12.954407,59,D5,C,Bloch,5,1,36,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L386,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/12/24 0:00,46.822358,12.991912,32,D3a,C,Bloch,5,0,4,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L387,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/12/24 0:00,46.845721,12.939193,62,D6,B,Bloch,5,1,5,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L388,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.855958,12.961181,37,D3b,B,Bloch,5,0,53,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L389,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.815692,12.945992,57,D5,A,Wertholz,6,1,53,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L390,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/12/24 0:00,46.844273,12.941481,40,D4,C,Bloch,5,0,62,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L391,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/12/24 0:00,46.817881,12.953665,47,D4,B,Bloch,5,0,86,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L392,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.833114,12.952026,33,D3a,C,Bloch,5,0,42,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L393,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/12/24 0:00,46.851048,12.954701,39,D3b,B,Bloch,5,0,59,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L394,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/12/24 0:00,46.853892,12.996887,53,D5,B,Bloch,5,1,1,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L395,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/12/24 0:00,46.848633,12.963001,38,D3b,B,Bloch,5,0,56,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L396,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/12/24 0:00,46.846972,12.975115,55,D5,B,Bloch,5,1,18,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L397,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/12/24 0:00,46.828896,12.961740,35,D3b,C,Bloch,5,0,48,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L398,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/12/24 0:00,46.854083,12.943572,20,D2a,C,Bloch,5,0,15,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L399,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/12/24 0:00,46.822881,12.973412,54,D5,C,Bloch,5,1,14,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L400,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/12/24 0:00,46.817192,12.976848,36,D3b,B,Bloch,5,0,5,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L401,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.854051,12.995662,65,D6,C,Bloch,5,1,65,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L402,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.837520,12.984904,33,D3a,B,Bloch,5,0,42,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L403,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.854735,12.981441,35,D3b,B,Bloch,5,0,48,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L404,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.831283,12.992542,49,D4,C,Bloch,5,0,94,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L405,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/13/24 0:00,46.848421,12.973147,58,D5,C,Bloch,5,1,32,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L406,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.817736,12.963638,39,D3b,C,Bloch,5,0,59,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L407,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/13/24 0:00,46.827793,12.971883,52,D5,C,Bloch,5,1,06,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L408,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/13/24 0:00,46.843963,12.951203,31,D3a,C,Bloch,5,0,37,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L409,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/13/24 0:00,46.855454,12.984202,51,D5,B,Bloch,5,1,02,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L410,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/13/24 0:00,46.824445,12.960819,33,D3a,B,Bloch,5,0,42,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L411,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/13/24 0:00,46.854043,12.971409,39,D3b,C,Bloch,5,0,59,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L412,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.818921,12.945762,49,D4,C,Bloch,5,0,94,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L413,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/13/24 0:00,46.828905,12.967267,45,D4,C,Bloch,5,0,79,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L414,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/13/24 0:00,46.815929,12.948213,38,D3b,B,Bloch,5,0,56,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L415,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.852482,12.991878,25,D2b,C,Bloch,5,0,24,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L416,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.825137,12.969270,36,D3b,C,Bloch,5,0,5,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L417,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.822948,12.986915,29,D2b,B,Bloch,5,0,33,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L418,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/13/24 0:00,46.832751,12.994935,25,D2b,C,Bloch,5,0,24,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L419,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/13/24 0:00,46.853364,12.972046,45,D4,C,Bloch,5,0,79,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L420,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/13/24 0:00,46.849999,12.986327,47,D4,C,Bloch,5,0,86,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L421,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/13/24 0:00,46.846367,12.991718,43,D4,B,Bloch,5,0,72,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L422,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/13/24 0:00,46.831128,12.963423,37,D3b,C,Bloch,5,0,53,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L423,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.833411,12.945085,37,D3b,B,Bloch,5,0,53,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L424,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.845454,12.959604,27,D2b,C,Bloch,5,0,28,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L425,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.826058,12.982855,43,D4,B,Bloch,5,0,72,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L426,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.836576,12.964318,34,D3a,B,Bloch,5,0,45,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L427,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.816946,12.986015,32,D3a,C,Bloch,5,0,4,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L428,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.829248,12.939689,39,D3b,C,Bloch,5,0,59,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L429,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.822738,12.940876,35,D3b,B,Bloch,5,0,48,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L430,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/13/24 0:00,46.848225,12.973433,59,D5,C,Bloch,5,1,36,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L431,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/13/24 0:00,46.851336,12.960937,44,D4,B,Bloch,5,0,76,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L432,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.853278,12.988437,40,D4,C,Bloch,5,0,62,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L433,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.825970,12.968485,48,D4,B,Bloch,5,0,9,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L434,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/13/24 0:00,46.855689,12.996777,29,D2b,B,Bloch,5,0,33,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L435,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/13/24 0:00,46.820981,12.962825,48,D4,C,Bloch,5,0,9,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L436,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.820918,12.971265,31,D3a,C,Bloch,5,0,37,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L437,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.834537,12.980919,32,D3a,C,Bloch,5,0,4,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L438,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/13/24 0:00,46.841265,12.973913,44,D4,B,Bloch,5,0,76,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L439,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.830098,12.969339,31,D3a,B,Bloch,5,0,37,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L440,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/13/24 0:00,46.853981,12.994910,48,D4,B,Bloch,5,0,9,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L441,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/13/24 0:00,46.844103,12.977231,40,D4,C,Bloch,5,0,62,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L442,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.844228,12.951764,54,D5,C,Bloch,5,1,14,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L443,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.850429,12.987881,30,D3a,B,Bloch,5,0,35,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L444,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.826180,12.960584,31,D3a,C,Bloch,5,0,37,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L445,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.823341,12.985370,55,D5,B,Bloch,5,1,18,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L446,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/13/24 0:00,46.820216,12.951098,38,D3b,B,Bloch,5,0,56,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L447,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.836204,12.941305,36,D3b,C,Bloch,5,0,5,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L448,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/13/24 0:00,46.815481,12.959916,32,D3a,B,Bloch,5,0,4,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L449,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/13/24 0:00,46.824717,12.996016,38,D3b,B,Bloch,5,0,56,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L450,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/13/24 0:00,46.816308,12.952382,26,D2b,B,Bloch,5,0,26,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L451,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.825318,12.949364,47,D4,B,Bloch,5,0,86,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L452,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.841039,12.978784,43,D4,C,Bloch,5,0,72,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L453,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.850684,12.939843,39,D3b,C,Bloch,5,0,59,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L454,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.838129,12.983739,32,D3a,B,Bloch,5,0,4,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L455,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/14/24 0:00,46.833583,12.949874,25,D2b,B,Bloch,5,0,24,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L456,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/14/24 0:00,46.825737,12.983609,38,D3b,C,Bloch,5,0,56,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L457,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.856202,12.979939,51,D5,B,Bloch,5,1,02,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L458,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/14/24 0:00,46.835470,12.952966,36,D3b,B,Bloch,5,0,5,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L459,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/14/24 0:00,46.845922,12.973636,40,D4,C,Bloch,5,0,62,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L460,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.836633,12.954618,33,D3a,C,Bloch,5,0,42,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L461,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/14/24 0:00,46.818001,12.966165,39,D3b,B,Bloch,5,0,59,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L462,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.825697,12.975820,51,D5,C,Bloch,5,1,02,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L463,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.840425,12.974654,40,D4,A,Wertholz,7,0,87,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L464,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/14/24 0:00,46.815870,12.957251,51,D5,C,Bloch,5,1,02,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L465,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.852431,12.975689,29,D2b,A,Bloch,5,0,33,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L466,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/14/24 0:00,46.838455,12.968728,45,D4,C,Bloch,5,0,79,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L467,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/14/24 0:00,46.853166,12.971734,33,D3a,B,Bloch,5,0,42,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L468,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.816057,12.969554,31,D3a,C,Bloch,5,0,37,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L469,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/14/24 0:00,46.846787,12.975031,34,D3a,C,Bloch,5,0,45,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L470,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.846937,12.942385,56,D5,C,Bloch,5,1,23,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L471,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/14/24 0:00,46.827139,12.956886,57,D5,C,Bloch,5,1,27,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L472,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/14/24 0:00,46.836236,12.987749,57,D5,B,Bloch,5,1,27,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L473,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/14/24 0:00,46.837121,12.962264,36,D3b,B,Bloch,5,0,5,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L474,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.856487,12.957117,25,D2b,B,Bloch,5,0,24,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L475,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.846273,12.967100,48,D4,B,Bloch,5,0,9,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L476,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.851307,12.963903,28,D2b,B,Bloch,5,0,3,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L477,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.848078,12.960446,29,D2b,C,Bloch,5,0,33,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L478,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/14/24 0:00,46.845584,12.954374,52,D5,C,Bloch,5,1,06,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L479,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/14/24 0:00,46.828195,12.952810,36,D3b,C,Bloch,5,0,5,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L480,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.842597,12.944383,38,D3b,C,Bloch,5,0,56,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L481,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/14/24 0:00,46.815866,12.950898,22,D2a,C,Bloch,5,0,19,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L482,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.830017,12.940860,48,D4,C,Bloch,5,0,9,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L483,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/14/24 0:00,46.838609,12.942176,44,D4,C,Bloch,5,0,76,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L484,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/14/24 0:00,46.844033,12.987842,22,D2a,C,Bloch,5,0,19,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L485,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/14/24 0:00,46.834952,12.990292,38,D3b,A,Bloch,5,0,56,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L486,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/14/24 0:00,46.846917,12.966117,29,D2b,C,Bloch,5,0,33,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L487,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.845329,12.952097,31,D3a,C,Bloch,5,0,37,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L488,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.830068,12.943480,39,D3b,B,Bloch,5,0,59,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L489,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/14/24 0:00,46.828060,12.964598,52,D5,C,Bloch,5,1,06,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L490,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/14/24 0:00,46.844066,12.982560,45,D4,C,Bloch,5,0,79,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L491,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/14/24 0:00,46.832206,12.940109,27,D2b,B,Bloch,5,0,28,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L492,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/14/24 0:00,46.854544,12.971068,42,D4,B,Bloch,5,0,69,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L493,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/14/24 0:00,46.818257,12.940337,35,D3b,C,Bloch,5,0,48,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L494,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/14/24 0:00,46.823120,12.949694,45,D4,C,Bloch,5,0,79,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L495,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/14/24 0:00,46.840883,12.939864,40,D4,C,Bloch,5,0,62,new moon,,sawmill,no,yes,no,46.840642,12.941741
F1L496,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/14/24 0:00,46.823947,12.964792,42,D4,C,Bloch,5,0,69,new moon,,sawmill,no,yes,no,46.840642,12.941741
